instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_min_control_speed,feature_npc1_max_control_speed,feature_npc1_std_control_speed,feature_npc2_avg_control_speed,feature_npc2_min_control_speed,feature_npc2_max_control_speed,feature_npc2_std_control_speed,feature_npcs_avg_control_speed,feature_npcs_min_control_speed,feature_npcs_max_control_speed,feature_npcs_std_control_speed,feature_npc_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_avg_speed,feature_ego_min_speed,feature_ego_max_speed,feature_ego_std_speed,feature_npc1_avg_speed,feature_npc1_min_speed,feature_npc1_max_speed,feature_npc1_std_speed,feature_npc2_avg_speed,feature_npc2_min_speed,feature_npc2_max_speed,feature_npc2_std_speed,feature_avg_dist_ego_npc1,feature_min_dist_ego_npc1,feature_max_dist_ego_npc1,feature_std_dist_ego_npc1,feature_avg_dist_ego_npc2,feature_min_dist_ego_npc2,feature_max_dist_ego_npc2,feature_std_dist_ego_npc2,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_std_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_min_npc_speed,feature_std_npcs_speed,feature_type_npc_max_speed,feature_type_npc_min_speed,feature_op_npc_max_speed,feature_op_npc_min_speed,feature_ctrl_speed_npc_max_speed,feature_ctrl_speed_npc_min_speed,feature_dist_av_npc_max_speed,feature_dist_av_npc_min_speed,feature_time_to_max_speed,feature_time_to_max_dist,feature_source
scenario10,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.31153037101321,0,11.7020324128961,4.27335215029753,8.30661713181675,0,27.9665681602366,8.25571912850371,12.3964623528443,0,27.7509165263598,8.14898982207766,26.542948805801,3.26593210494398,58.1296347105202,17.2413706131218,54.7147088893158,3.79724289536784,124.160098206298,29.058901351414,40.6288288475584,124.160098206298,3.26593210494398,23.1501359822679,2,1,1,2,7.2831476201225,19.3971459886407,11.7049782018472,7.26978022474685,10.3515397423305,27.9665681602366,0,8.20235447529069,1,2,2,0,2.75151850768773,18.8767139613898,25.7691095506451,11.7504022474896,12,30,1
scenario11,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.3291677957301,0,11.6898495437459,4.42341575267451,8.30795606030378,0,27.9656549643348,8.23241577697818,10.8121012324295,0,27.6875719291908,7.97539709153589,28.5657956392803,3.38919846640595,60.8814994833226,18.7328899874783,42.7216960827812,3.80679460184903,78.209746017032,16.4822699718692,35.6437458610308,78.209746017032,3.38919846640595,17.6075799796737,2,1,1,2,24.8188885313108,19.3971459886407,8.53530137857444,15.4085996032566,9.56002864636662,27.9656549643348,0,8.10390643425704,1,2,2,0,2.75151850768773,18.8767139613898,29.9133447402,11.7504022474896,12,15,1
scenario12,1,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.30170137956559,0,11.6341090715908,4.26731731769018,8.06509470997557,0,27.9666782415705,8.43752482153363,10.8046491514651,0,27.6875719291908,7.98986696463437,26.4335258822642,2.78691737915313,59.8079045012631,18.0600367755138,44.2237317599899,3.79777016984866,82.1307708928994,17.2710670665974,35.3286288211271,82.1307708928994,2.78691737915313,17.6655519210556,2,1,1,1,24.8188885313108,18.550949211645,1.98938858003173,15.4085996032566,9.43487193072034,27.9666782415705,0,8.213695893084,1,2,2,0,2.75151850768773,18.8767139613898,26.194047568879,11.7504022474896,12,15,1
scenario13,2,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.29026987763693,0,11.6818665078356,4.26026249819786,8.30953436585142,0,27.9663395642126,8.24551370399542,10.8598129309116,0,27.6875719291908,8.01979581978575,26.3923761631339,2.97935924218573,58.1073572215109,17.5001472765062,44.9039171407072,3.79845572979915,82.7246823138532,17.3498507852713,35.6481466519205,82.7246823138532,2.97935924218573,17.4249990308888,2,1,1,1,24.8188885313108,18.550949211645,3.70473405932641,15.4085996032566,9.58467364838153,27.9663395642126,0,8.13265476189059,1,2,2,0,2.75151850768773,18.8767139613898,25.7572106912716,11.7504022474896,12,15,1
scenario14,2,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7.5,8,7.31925705894838,0,11.6957297976971,4.36648962453513,8.08881362682612,0,27.9663395642126,8.39699195077011,10.8527401910639,0,27.6875719291908,8.00895434472414,27.2310356532779,2.54638618741666,59.9397523404833,18.4312317835494,43.6444671390254,3.79730359441747,80.7829426035419,16.9696217030827,35.4377513961516,80.7829426035419,2.54638618741666,17.700426743316,2,1,1,1,24.8188885313108,18.550949211645,0.204108762842233,15.4085996032566,9.47077690894499,27.9663395642126,0,8.20297314774712,1,2,2,0,2.75151850768773,18.8767139613898,27.5858872254337,11.7504022474896,12,15,1
scenario15,1,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.30501484095249,0,11.6714895585895,4.27206302327601,8.06359634257492,0,27.9660014707409,8.43515190270262,10.8038133847608,0,27.6875719291908,7.98807298101378,26.2287994142411,2.64332435829254,58.2987792328285,17.7553079929687,45.2317963994009,3.80165549411574,83.6483500663786,17.5588495523263,35.730297906821,83.6483500663786,2.64332435829254,17.6570787726475,2,1,1,1,24.8188885313108,18.550949211645,1.09456155675117,15.4085996032566,9.43370486366784,27.9660014707409,0,8.2116124418582,1,2,2,0,2.75151850768773,18.8767139613898,25.7798006654615,11.7504022474896,12,15,1
scenario16,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,6.5,6,7.32384296510445,0,11.6657595732391,4.41636747128627,8.30995192575019,0,27.9668060370471,8.24536517410011,12.3134980811132,0,27.5517222376161,7.74007144478612,28.1352136214833,3.36768719725295,60.5338920659841,18.384818779935,53.197016021266,3.7999036647417,121.558071554646,29.0130821837923,40.6661148213746,121.558071554646,3.36768719725295,23.6989504818636,2,1,1,2,7.2831476201225,19.3971459886407,8.08128056974006,7.25501671213203,10.3117250034317,27.9668060370471,0,7.99271830944312,1,2,2,0,2.75151850768773,18.8767139613898,28.6652654722942,11.7504022474896,12,30,1
scenario17,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.32861956091228,0,11.7084707105337,4.34967882296697,8.30275460039269,0,27.9664237155527,8.29750948391071,10.8121012324295,0,27.6875719291908,7.97539709153589,26.4106671734399,3.37899445011392,58.0830168948672,17.1771550275436,46.2303284088844,3.79962244884789,85.2408070481879,17.8937598522325,36.3204977911622,85.2408070481879,3.37899445011392,17.535457439888,2,1,1,2,24.8188885313108,19.3971459886407,8.85680858440349,15.4085996032566,9.55742791641108,27.9664237155527,0,8.1364532877233,1,2,0,0,2.75151850768773,18.8767139613898,25.5854162025876,11.7504022474896,12,15,1
scenario18,2,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,19.3747417213267,7.2831476201225,27.7710631122135,6.20092536910507,16.6844369374379,1.14140380286495,27.968440548008,7.68340141534771,7,7,7.31470087988164,0,11.6871074392676,4.4489735870152,8.07592120861825,0,27.9656552635359,8.46305632807719,11.0263385321329,0,27.6875719291908,8.05676241000555,27.3807878156218,2.52627073340886,59.1221366633872,18.3180952518937,46.7701078768551,3.812272272468,84.4260849792577,18.0689905408872,37.0754478462384,84.4260849792577,2.52627073340886,18.1935428963904,2,1,1,1,24.8188885313108,18.550949211645,1.70635634399187,15.4085996032566,9.55112987037558,27.9656552635359,0,8.25990936904137,1,2,2,0,2.75151850768773,18.8767139613898,27.627334796832,11.7504022474896,12,15,1
scenario19,2,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.3454722137987,7.85546821012847,27.7710631122135,5.36388615159617,17.1698021836739,1.14140380286495,27.968440548008,7.26488180659326,7,7,7.30750912109994,0,11.5769653870582,4.0142465014214,8.34430045295334,0,27.9662317216043,8.17604113167375,10.8666188613649,0,27.6875719291908,7.96897375905909,25.3458427955133,3.14954568070392,58.9931137133274,16.8063528698437,45.2348301404298,3.83275241481043,86.0697435123889,18.5153499889827,35.2903364679716,86.0697435123889,3.14954568070392,17.6608514294132,2,1,1,2,24.8188885313108,19.3971459886407,15.6808007260414,15.4085996032566,9.60545965715914,27.9662317216043,0,8.07250744536642,1,2,2,0,2.75151850768773,18.8767139613898,22.5547635899111,11.7504022474896,12,15,1
scenario20,1,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,21.3240270414702,7.2831476201225,27.7710631122135,5.34804580710585,17.6590795975096,1.14140380286495,27.968440548008,7.2569616343481,6.5,6,7.29358569828744,0,11.6791218104258,4.3929791815124,8.0403875101249,0,27.9656987647217,8.504987342012,12.2590909123585,0,26.4283192568945,7.44103528287142,25.9703096076115,2.60115711566256,57.1824387230584,17.5338405557743,61.9936405101321,3.79649544386969,116.673052245057,28.5065373049081,43.9819750588718,116.673052245057,2.60115711566256,23.0201889303412,2,1,1,1,7.2831476201225,18.550949211645,0.620995222829828,7.20080464159759,10.1497392112417,27.9656987647217,0,7.97301131244171,1,2,2,0,2.75151850768773,18.8767139613898,25.6675266616201,11.7504022474896,12,30,1
scenario21,1,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,6.5,6,7.29874415536618,0,11.5969033252011,4.08291803355417,8.06448699768279,0,27.9657363104575,8.42919577612773,10.8542756972867,0,27.6875719291908,8.02200730230623,24.4984765584773,2.8316700154154,57.2808760369092,16.5767761864624,47.3084006366131,3.79712522606888,89.0614724905387,18.9853271908401,35.9034385975452,89.0614724905387,2.8316700154154,17.7810516886513,2,1,1,1,24.8188885313108,18.550949211645,3.6383461849962,15.4085996032566,9.45938134748475,27.9657363104575,0,8.22560153921698,1,2,0,0,2.75151850768773,18.8767139613898,21.789836476353,11.7504022474896,12,15,1
scenario22,2,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,19.9131703613041,7.85546821012847,24.8188885313108,4.90235099414702,16.9536512574266,1.14140380286495,27.968440548008,7.03411422786868,7,7,7.32374388160724,0,11.7420814130981,4.40816286411492,8.09449754916606,0,27.9659652340257,8.4162351807989,11.1678318124049,0,24.2242805353605,7.513346350941,27.1901564291888,2.5511683733747,58.3809795219872,18.1888794408979,44.9485872068852,3.79717520867971,76.383283201155,17.2870013959703,36.069371818037,76.383283201155,2.5511683733747,17.7379404184341,2,1,1,1,7.85546821012847,18.550949211645,0.216190710732626,7.79480136390117,9.6311646807855,27.9659652340257,0,7.96479076586995,1,2,2,0,2.75151850768773,18.8767139613898,27.3175910562532,11.7504022474896,12,30,1
scenario23,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,17.0042903774787,0.584178131437076,27.7710631122135,8.10717420256793,15.4992112655139,0.584178131437076,27.968440548008,8.63652583207914,7,7,7.34834749670136,0,11.6889513896589,4.31786844817009,8.31089022118727,0,27.9659562008568,8.22946773539777,9.62055658192648,0,27.6875719291908,8.20236611734368,27.7403638846002,3.43063446674072,59.8586030181066,18.0245804467505,39.7428279236241,3.80440008763915,81.0488747783528,16.986634593219,33.7415959041121,81.0488747783528,3.43063446674072,17.5056075199848,2,1,1,1,24.8188885313108,18.550949211645,6.784801124949,15.4085996032566,8.96572340155688,27.9659562008568,0,8.21591692637072,1,2,2,0,2.75151850768773,18.8767139613898,27.4367695980481,11.7504022474896,12,15,1
scenario24,0,13.5147498170002,1.14140380286495,26.0496638697147,8.52546205449683,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,16.9014949858992,1.14140380286495,27.7710631122135,7.01184049744935,6.5,6,7.33098194003507,0,11.6832662047818,4.25246928441891,8.2795103103445,0,25.8642238226393,7.79136976701083,10.8121012324295,0,27.6875719291908,7.97539709153589,30.2331066607825,3.54647895271455,61.8106299724994,19.0425357222998,46.9443038832474,3.8013724309426,86.7820236921881,18.2032790439485,38.588705272015,86.7820236921881,3.54647895271455,18.6229073831241,2,1,1,1,24.8188885313108,18.550949211645,4.57803063287244,15.4085996032566,9.54580577138698,27.6875719291908,0,7.88338342927336,2,2,2,0,27.7710631122135,18.8767139613898,81.3888275007706,11.7504022474896,14.5,15,1
scenario25,1,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,19.9131703613041,7.85546821012847,24.8188885313108,4.90235099414702,16.9536512574266,1.14140380286495,27.968440548008,7.03411422786868,6.5,6,7.2975231185141,0,11.6484060757087,4.14143800480452,8.06264129356717,0,27.9652333323448,8.41262724649324,11.1779503373355,0,24.2363976969363,7.54846245633399,25.468502805108,2.78433264892925,58.9958387436641,17.3050502604727,46.2545752077196,3.797069306368,79.3310191537556,18.4949132065171,35.8615390064138,79.3310191537556,2.78433264892925,17.8999817334949,2,1,1,1,24.8188885313108,18.550949211645,2.02025675700407,21.561737897957,9.62029581545135,27.9652333323448,0,7.98054485141361,1,2,2,0,2.75151850768773,18.8767139613898,23.4899963338968,11.7504022474896,12,15,1
scenario26,1,13.9604904321803,1.14140380286495,27.968440548008,9.12208078520164,21.3240270414702,7.2831476201225,27.7710631122135,5.34804580710585,17.6422587368253,1.14140380286495,27.968440548008,7.23506329615375,6.5,6,7.29681937898544,0,11.68486825743,4.41971249901054,8.02493313161198,0,27.9656120224575,8.49917147001283,12.2629394364396,0,26.4283192568945,7.42759697679819,26.6117568685492,2.55432309190502,57.5755903178629,17.7840901884693,62.7508206892856,3.84142957749766,117.482983255545,28.5499861519191,44.6812887789174,117.482983255545,2.55432309190502,23.1670381701942,2,1,1,1,7.2831476201225,18.550949211645,2.44665059446692,7.21311368921429,10.1439362840258,27.9656120224575,0,7.96338422340551,1,2,2,0,2.75151850768773,18.8767139613898,26.0061215720242,11.7504022474896,12,30,1
scenario27,1,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,19.5414376005191,7.85546821012847,24.8188885313108,5.38959640181268,16.7677848770341,1.14140380286495,27.968440548008,7.27773693170151,6.5,6,7.31041175340753,0,11.6884146341096,4.43603210527321,8.05250583860791,0,27.9662485051269,8.41837302140857,11.4333435694822,0,24.269744854992,7.65849778605107,28.7476268971939,2.67372162500878,61.6909674776052,19.5267656273427,42.0926521873628,3.8026219215998,85.1870337973719,17.8084384348501,35.4201395422784,85.1870337973719,2.67372162500878,18.6676020310964,2,1,1,1,7.85546821012847,18.550949211645,0.558198538935558,7.7707980697286,9.74292470404508,27.9662485051269,0,8.03843540372982,1,2,2,0,2.75151850768773,18.8767139613898,30.5110141415123,11.7504022474896,12,30,1
scenario28,2,13.9604904321803,1.14140380286495,27.968440548008,9.12208078520164,21.3240270414702,7.2831476201225,27.7710631122135,5.34804580710585,17.6422587368253,1.14140380286495,27.968440548008,7.23506329615375,6.5,6,7.31388087031917,0,11.6609020730434,4.419176783362,8.07468327489858,0,27.966043017503,8.4227798311775,12.2791996475648,0,26.4283192568945,7.42983203198723,27.2749412792822,2.54049927467633,58.6197450856188,18.2337834585809,60.5646648700972,3.82666028909637,116.994076759364,28.3652894438397,43.9198030746897,116.994076759364,2.54049927467633,23.2995364512103,2,1,1,1,7.2831476201225,18.550949211645,0.754594560294692,7.2168256029298,10.1769414612317,27.966043017503,0,7.92630593158237,1,2,0,0,2.75151850768773,18.8767139613898,27.4024147162828,11.7504022474896,12,30,1
