instances,z_1,z_2,algo_collision,feature_npc1_avg_control_speed,feature_npc1_min_control_speed,feature_npc1_max_control_speed,feature_npc1_std_control_speed,feature_npc2_avg_control_speed,feature_npc2_min_control_speed,feature_npc2_max_control_speed,feature_npc2_std_control_speed,feature_npcs_avg_control_speed,feature_npcs_min_control_speed,feature_npcs_max_control_speed,feature_npcs_std_control_speed,feature_npc_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_avg_speed,feature_ego_min_speed,feature_ego_max_speed,feature_ego_std_speed,feature_npc1_avg_speed,feature_npc1_min_speed,feature_npc1_max_speed,feature_npc1_std_speed,feature_npc2_avg_speed,feature_npc2_min_speed,feature_npc2_max_speed,feature_npc2_std_speed,feature_avg_dist_ego_npc1,feature_min_dist_ego_npc1,feature_max_dist_ego_npc1,feature_std_dist_ego_npc1,feature_avg_dist_ego_npc2,feature_min_dist_ego_npc2,feature_max_dist_ego_npc2,feature_std_dist_ego_npc2,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_std_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_min_npc_speed,feature_std_npcs_speed,feature_type_npc_max_speed,feature_type_npc_min_speed,feature_op_npc_max_speed,feature_op_npc_min_speed,feature_ctrl_speed_npc_max_speed,feature_ctrl_speed_npc_min_speed,feature_dist_av_npc_max_speed,feature_dist_av_npc_min_speed,feature_time_to_max_speed,feature_time_to_max_dist,feature_source
scenario2764,-2.695089317,0.774874768,0,18.60001312,3.100230148,27.68412668,8.128756032,17.93780325,6.322790622,29.17377289,6.944601195,18.26890819,3.100230148,29.17377289,7.536678613,6,6,7.340386715,0,11.68214972,4.327655108,7.675563298,0,18.80098992,5.149517401,11.63849625,0,29.17361656,7.56828966,13.23792091,8.750574097,29.5909267,5.102231776,47.35932305,3.795298432,101.4926891,23.21372568,30.29862198,101.4926891,3.795298432,14.15797873,2,2,0,2,15.03152938,12.0308775,11.47114724,11.49359613,9.657029776,29.17361656,0,6.35890353,2,2,2,2,29.17377289,12.0308775,69.48721251,11.75040225,14.7,30,0
scenario2765,-0.187097307,1.416215084,0,14.07836108,2.422153324,27.9434054,9.146484204,12.26063908,3.2643968,27.1828158,7.498176353,13.16950008,2.422153324,27.9434054,8.322330278,6,6,7.350494936,0,11.67082129,4.355405073,7.762436912,0,26.45277024,6.652559722,8.320196998,0,27.06537757,6.564033265,22.16635472,6.618693921,43.44908401,11.01927594,8.566855265,3.77288192,20.74514735,4.036244104,15.36660499,43.44908401,3.77288192,7.52776002,1,2,1,0,13.85164857,7.29876515,2.797662799,9.422380825,8.041316955,27.06537757,0,6.608296494,2,2,1,2,27.1828158,4.075331095,8.717524344,11.75040225,21.8,21.5,0
scenario2766,0.484041531,0.704723342,0,17.58722444,1.510407361,28.52173804,9.251266385,15.15185034,1.065850497,28.22057569,9.040371671,16.36953739,1.065850497,28.52173804,9.145819028,4,2,7.328533407,0,11.69466551,4.369686154,8.485829623,0,26.55333658,7.006873646,8.665714683,0,24.31037331,7.780190448,11.49049529,2.979178772,25.54236376,6.267732039,21.48596989,3.804884273,47.17519975,9.703195276,16.48823259,47.17519975,2.979178772,7.985463658,2,1,2,0,21.87653823,24.92570729,20.79733108,11.31108632,8.575772153,26.55333658,0,7.393532047,1,2,1,0,27.08770156,1.177837082,22.93500215,11.75040225,14.1,17.7,0
scenario2767,-2.084197525,0.34030593,0,14.68654306,2.778429806,29.70745585,8.813808506,18.09308551,0.41113334,29.66544354,8.373026391,16.38981429,0.41113334,29.70745585,8.593417449,8,7,7.32870475,0,11.6729468,4.307864082,7.679835691,0,23.04451701,6.390400066,11.13328886,0,29.66494524,8.626486206,18.9534619,5.576351337,34.80045842,9.576708717,48.5608538,3.493049941,87.34351873,22.1205505,33.75715785,87.34351873,3.493049941,15.84862961,2,2,1,1,20.43397197,23.93014672,20.58616089,20.42999421,9.406562277,29.66494524,0,7.508443136,2,2,2,1,29.66544354,23.93014672,64.53973761,11.75040225,5.5,30,0
scenario2768,-1.414421053,1.255643287,0,14.08512745,1.762322284,29.32849789,9.364434082,12.87925817,0.62814363,27.94391995,8.909197949,13.48219281,0.62814363,29.32849789,9.136816015,5,6,7.281713971,0,11.71258147,4.406360146,7.616848307,0,26.35891305,7.691773705,8.220312521,0,27.5674323,7.84651951,18.3435009,8.670512868,44.30270472,9.455860907,28.67305916,3.435473443,58.65984061,18.69026511,23.50828003,58.65984061,3.435473443,14.07306301,2,2,2,1,11.1668984,23.27492925,20.87869889,23.78147119,7.918580414,27.5674323,0,7.769146608,2,2,0,1,27.94391995,23.27492925,46.61659631,11.75040225,7.3,9,0
scenario2769,-0.804303019,-1.035227213,2,13.67012876,5.460891615,26.90113488,8.359149239,14.8405276,0.075352629,28.0122088,9.141807406,14.25532818,0.075352629,28.0122088,8.750478322,4,2,7.263757141,0,11.46475915,3.589672621,7.23051215,0,25.07886148,5.513185458,8.271902155,0,28.00954667,8.071666886,17.6026046,7.26921449,41.62746912,8.925593425,28.9878893,3.458637296,74.4914598,20.4510741,23.29524695,74.4914598,3.458637296,14.68833376,2,2,1,1,14.36475383,23.49671963,21.07770158,9.036728068,7.751207153,28.00954667,0,6.792426172,2,2,1,1,14.36475383,23.49671963,63.78788048,11.75040225,18,20.2,0
scenario2770,-2.887149585,0.110537216,0,14.79717158,1.254802023,28.1133288,9.588815598,15.54451729,1.374209171,29.19297728,10.67596366,15.17084444,1.254802023,29.19297728,10.13238963,7,5,7.335190422,0,11.67411499,4.273605126,9.213915792,0,28.10865904,7.720748143,11.2771059,0,29.19304873,10.84363407,57.94290086,8.926867076,209.9543408,52.18974653,47.26790925,3.361768508,104.9018301,28.99374838,52.60540506,209.9543408,3.361768508,40.59174745,1,2,0,1,28.1133288,7.591293024,7.584860604,28.10865904,10.24551084,29.19304873,0,9.282191107,2,2,0,1,29.19297728,7.591293024,87.55972836,11.75040225,29.7,30,0
scenario2771,-1.659984747,0.911346734,0,17.21874494,1.381685701,29.62612728,8.914023198,15.77189002,2.350349331,29.95256977,9.587243029,16.49531748,1.381685701,29.95256977,9.250633114,5.5,6,7.323352771,0,11.7382262,4.330825242,8.961576035,0,29.56081295,7.859196584,10.82473504,0,29.89570217,8.463655116,14.48979301,3.993726986,35.15253913,6.95346654,33.44498484,3.812303077,84.03739667,18.53742135,23.96738893,84.03739667,3.812303077,12.74544395,2,2,0,2,8.018941606,22.57975561,19.30932843,8.018716796,9.893155535,29.89570217,0,8.16142585,2,2,0,2,8.018941606,22.57975561,61.87039036,11.75040225,27,30,0
scenario2772,-1.053474022,0.536060311,0,16.8112406,2.603941441,27.38097033,8.900762333,14.00838351,1.449301388,27.43328323,9.488557448,15.40981205,1.449301388,27.43328323,9.194659891,6.5,7,7.334535936,0,11.68667231,4.339054352,8.117162524,0,25.90881164,7.347504301,8.498965968,0,27.43092086,8.393253872,17.54599887,3.550357068,43.50273602,13.29923885,21.75418928,3.804697601,45.63674106,12.13799588,19.65009407,45.63674106,3.550357068,12.71861736,2,1,2,2,2.980452565,22.89165689,3.770130905,17.41905976,8.308064246,27.43092086,0,7.870379086,2,2,2,2,1.449301388,27.43328323,43.19017025,11.75040225,3,12,0
scenario2773,-1.717265691,-0.823459709,0,19.66635216,8.867434262,29.76032843,6.364930948,18.3030875,8.771370821,25.07818144,4.475039428,18.98471983,8.771370821,29.76032843,5.419985188,6.5,6,7.32524933,0,11.62784577,4.297866815,9.08134406,0,22.21689698,5.253531398,13.12512646,0,25.02659693,6.60256466,9.172971073,2.984430019,31.48802292,4.559062489,50.20848701,3.827828082,127.2372447,30.13196959,29.69072904,127.2372447,2.984430019,17.34551604,2,1,2,0,25.07818144,22.87167772,20.79629771,12.54955997,11.10323526,25.02659693,0,5.928048029,2,2,2,0,25.07818144,16.27487224,113.9912958,11.75040225,29.1,30,0
