Row,ego_max_speed,ego_std_speed,npc1_max_speed,npc2_std_speed,min_dist_ego_npc1,min_npc_dist,avg_speed_npcs,type_npc_max_speed,dist_av_npc_max_speed,source
scenario1425,11.6596488237073,4.48049396188992,26.6012785248016,7.95491546380755,3.52931648480782,3.52931648480782,9.73634449188412,2,68.4175960328226,1
scenario1426,11.6636178751819,4.44588062201146,24.4876051929021,7.02488473328869,8.70161036989054,3.68337741766022,7.9816893659652,2,3.89893367485229,1
scenario1427,11.6766588120731,4.48037190508865,24.4876051929021,7.02488473328869,8.70885661802349,3.68271269480948,7.98633295220732,2,6.49895675196433,1
scenario1428,11.7031263702039,4.47275565283469,24.4876051929021,6.61443751534577,8.69161221770498,3.34858110944396,7.8954065450872,2,15.3267022125484,1
scenario1429,11.6522863986251,4.4868730170619,24.4876051929021,7.02488473328869,8.70296705016396,3.68129422666687,7.97526530704673,2,4.71562068522166,1
scenario1430,11.6825728357968,4.39558623970648,19.1306892463399,7.02488473328869,8.47956833771766,3.68180823134319,7.97393148540767,2,4.35144911799456,1
scenario1431,11.6636547184537,4.26853037307337,21.7705146702502,8.2898204220634,9.3676874177239,3.20547782550803,9.06765666232437,2,56.6748693085609,1
scenario1432,11.6480020899685,4.30005152611964,16.0248343868945,8.3992688579775,11.5730697234411,3.18189340725333,9.29752096871791,2,63.5935923856175,1
scenario1433,11.6500323036977,4.48741136640475,21.884621035849,7.96887226557968,9.95007660464195,3.21997454436224,8.95373821045982,2,48.6582083404005,1
scenario1434,11.6976659785042,4.33910992739605,21.8477326727018,8.3992688579775,9.59253788869848,3.23601845403286,9.49644866123944,2,54.8262229577585,1
scenario1435,11.6526091441813,4.49284666703281,21.8711333844427,8.24442265574601,9.74034543171362,3.20752838417504,8.9280321104514,2,50.4944830493219,1
scenario1436,11.656667638489,4.45662938844118,21.8477326727018,8.2898204220634,9.8838554062232,3.19476864921195,9.17996442164571,2,51.2787675021518,1
scenario1437,11.6615716153897,4.31088353009026,19.3206957201812,7.96887226557968,14.3881129406958,3.17285203285729,8.7454508198255,2,58.4668835230462,1
scenario1438,11.7369325089755,4.50836420520978,21.8477326727018,8.3992688579775,9.72510135398959,3.21181479844726,9.57867716786684,2,51.8516521768973,1
scenario1439,11.6718420875175,4.42505619639097,19.3206957201812,7.87809111647392,15.4346391896042,3.19862542529534,9.29883234148933,2,54.1071265292859,1
scenario1440,11.6433238820578,4.41423294776221,18.7016465526633,7.96887226557968,16.3501154377669,3.19156280245684,8.79301562775547,2,55.5080723350902,1
scenario1441,11.702819617404,4.41983657042177,21.8711333844427,8.3992688579775,9.79989305011148,3.21893258262526,9.6590123310381,2,50.6017407190396,1
scenario1442,11.7299751127648,4.22752995936648,20.4072194890876,8.3992688579775,9.99590041406333,3.1861319806975,9.4018357534782,2,59.9641930268663,1
scenario1443,11.6412710996545,4.46098136343713,21.884621035849,8.3992688579775,9.87192555147281,3.23887527092074,9.60679776508875,2,49.0049555068845,1
scenario1444,11.6996726606702,4.36249571651949,18.7269317932928,8.3992688579775,16.3456500211543,3.21592388360485,9.48893020183298,2,54.983026047585,1
scenario1445,11.6827161723656,3.83573539505196,23.1194363163551,7.39947193413668,3.49939151237171,2.57971572328029,9.43122076273421,2,44.3742830017703,1
scenario1446,11.6556561259793,3.84230292070699,22.951780836286,7.41270631224893,3.81390335246368,2.60373544491686,9.45101158503108,2,44.1462235469891,1
scenario1447,11.6777109772855,4.16171332438784,21.7705146702502,7.98784026406339,9.3535192248182,3.21286576849032,8.56329261864579,2,58.7607579107251,1
scenario1448,11.7296237968302,4.32731732814827,23.8250005048958,7.96887226557968,10.0615325494321,3.21618113512983,8.78110772582454,2,56.9828107282488,1
scenario1449,11.7020752668224,4.25013301394054,20.4072194890876,7.96887226557968,10.0849739927417,3.20109796629453,8.74830680701819,2,58.9671842665465,1
scenario1450,11.6886958801384,4.3603431456649,24.4876051929021,7.00841527548752,8.7083786183693,3.68360719376207,8.0256332578594,2,3.83812993258369,1
scenario1451,11.6806003261339,4.48170245777573,19.1004606623452,7.02488473328869,8.58560639557748,3.68261627055911,7.97753304569813,2,4.6839184272934,1
scenario1452,11.682645600889,4.4077472644136,19.1856313131945,7.02488473328869,8.60168700937215,3.68304096507123,7.9729748836317,2,3.80632164354102,1
scenario1453,11.7157525497039,4.43297051481705,23.4696273846853,7.02488473328869,8.69345590160866,3.68194598852858,7.97979315266894,2,5.12032206060554,1
scenario1454,11.6863746921134,4.50126665831541,25.1775736888357,7.00841527548752,8.78143921717443,3.68167154064498,8.02551016674877,2,6.69150954646991,1
scenario1455,10.7958760787308,3.22384944820468,19.7952193613992,8.48101144033539,8.07493526886725,2.58170784879387,7.70531806280495,2,59.0685907464772,1
scenario1456,11.44921674544,3.81094495600391,26.4414203278578,8.13148394290625,3.86304613346909,2.8391216569227,9.54207864022297,1,12.2465316419722,1
scenario1457,11.7052941839129,4.50520100025466,22.8538204524648,8.07347961895909,8.81100029699315,3.80096978376627,8.87597295675171,2,58.7311580148102,1
scenario1458,11.6979666169181,4.15237815847752,27.5332784877294,8.52769070817846,3.01569957443381,3.01569957443381,8.51603992264749,1,12.4200965447392,1
scenario1459,11.6543359671874,3.63060427678307,19.7285427649276,8.15961098361557,9.92718684561194,3.19678163663631,7.97535187882598,2,48.9317641744365,1
scenario1460,11.71698149622,4.21542407721458,28.4679074013546,8.13148394290625,7.1279727899794,2.61940803444523,9.33861320889703,1,16.6247291917954,1
scenario1461,11.6803821900386,4.43824587725115,26.0388522465118,8.07347961895909,3.74663620976401,3.74663620976401,9.11620386586645,2,66.3485790256389,1
